CO,NO2,Temperature,Humidity
2.6,113.0,13.6,48.9
2.0,92.0,13.3,47.7
2.2,114.0,11.9,54.0
2.2,122.0,11.0,60.0
1.6,116.0,11.2,59.6
1.2,96.0,11.2,59.2
1.2,77.0,11.3,56.8
1.0,76.0,10.7,60.0
0.9,60.0,10.7,59.7
-200.0,34.0,10.1,60.5
0.7,28.0,11.0,56.2
0.7,48.0,10.5,58.1
1.1,82.0,10.2,59.6
2.0,112.0,10.8,57.4
2.2,101.0,10.5,60.6
1.7,98.0,10.8,58.4
1.5,92.0,10.5,57.9
1.6,95.0,9.5,66.8
1.9,112.0,8.3,76.4
2.9,128.0,8.0,81.1
2.2,126.0,8.3,79.8
2.2,131.0,9.7,71.2
2.9,135.0,9.8,67.6
4.8,151.0,10.3,64.2
6.9,172.0,9.7,69.3
6.1,165.0,9.6,67.8
3.9,136.0,9.1,64.0
1.5,85.0,8.2,63.4
1.0,53.0,8.2,60.8
1.7,97.0,8.3,58.5
1.9,110.0,7.7,59.7
1.4,91.0,7.1,61.8
-200.0,32.0,6.1,65.9
0.6,44.0,6.3,65.0
0.8,71.0,6.8,62.9
1.4,104.0,6.4,65.1
4.4,141.0,7.3,63.1
3.1,122.0,13.2,41.7
2.7,143.0,14.3,38.4
2.1,113.0,15.0,36.5
2.5,116.0,16.1,34.5
2.7,123.0,16.3,35.7
2.9,126.0,15.8,37.0
2.8,120.0,15.9,37.2
2.4,119.0,16.9,34.3
3.9,149.0,15.1,39.6
3.7,145.0,14.4,43.4
6.6,170.0,12.9,50.5
4.4,149.0,12.1,53.3
3.5,139.0,11.0,59.1
5.4,134.0,9.7,64.6
2.7,113.0,9.5,64.1
1.9,97.0,9.1,63.9
1.6,82.0,8.8,63.9
-200.0,83.0,7.0,71.1
1.0,65.0,8.3,63.6
1.2,60.0,7.2,67.5
1.5,77.0,6.3,71.9
2.7,96.0,6.5,71.6
3.7,119.0,9.6,59.7
3.2,126.0,12.4,51.2
4.1,158.0,15.6,42.2
3.6,161.0,18.4,33.8
2.8,124.0,19.4,31.3
2.0,102.0,18.0,34.8
2.0,116.0,18.4,33.6
2.5,124.0,17.6,35.1
2.3,125.0,16.7,37.8
3.2,148.0,16.1,41.0
4.2,165.0,15.8,42.4
4.2,161.0,15.7,44.1
4.2,159.0,15.3,46.8
3.1,143.0,14.6,48.6
2.6,130.0,14.7,49.3
2.9,129.0,13.9,53.6
2.8,119.0,14.6,51.5
2.5,104.0,12.5,58.9
-200.0,82.0,12.1,61.1
1.2,70.0,11.5,63.1
1.0,63.0,11.6,62.2
0.9,67.0,10.4,67.6
1.4,84.0,11.6,62.7
1.6,83.0,12.4,60.0
2.2,98.0,14.5,53.1
2.8,114.0,16.9,46.1
2.8,119.0,19.3,38.3
2.0,104.0,21.2,31.4
1.8,102.0,21.4,30.2
1.9,107.0,21.9,29.0
