CO,NO2,Temperature,Humidity
4.46,99.88,17.67,59.35
3.4,48.14,3.46,67.51
0.12,98.51,25.29,29.3
7.74,10.96,23.15,99.97
2.0,76.85,16.02,90.28
2.64,86.17,18.53,43.01
4.57,92.01,32.14,76.57
3.68,92.98,19.8,45.92
8.11,38.1,28.07,65.74
1.09,73.14,2.07,29.88
8.96,50.14,9.14,47.53
6.39,30.31,15.54,31.64
9.57,20.76,29.97,68.17
4.51,62.96,22.86,44.7
4.48,5.26,17.93,37.55
6.84,65.64,7.16,53.45
4.92,84.35,15.74,83.78
5.17,6.26,27.42,11.51
9.08,18.31,20.92,26.16
0.27,91.9,30.84,49.96
6.29,29.87,10.36,50.88
5.06,81.4,22.44,13.01
3.64,55.6,13.58,72.38
9.14,96.59,37.41,26.21
6.69,39.92,7.0,26.77
5.67,97.53,22.76,66.9
3.64,40.2,10.56,79.73
7.85,56.22,24.84,57.9
9.3,38.28,21.17,93.67
8.16,31.21,2.64,18.87
2.42,95.75,10.24,42.57
2.58,57.36,37.45,48.65
8.91,49.25,2.24,73.29
5.25,58.04,18.7,72.8
7.55,81.69,16.39,53.11
2.02,88.74,3.99,72.9
1.6,11.57,2.36,94.86
0.77,6.99,28.65,49.11
3.31,96.54,10.27,95.18
7.3,24.62,11.33,16.16
8.35,57.92,1.37,70.73
9.67,56.09,11.45,67.73
9.76,35.85,22.23,45.8
5.58,10.03,27.81,95.91
5.75,58.71,6.57,35.93
1.59,62.05,16.05,10.7
0.86,45.18,33.0,17.35
5.25,69.61,24.1,24.44
7.26,82.96,7.37,60.6
4.51,28.34,25.05,12.73
8.53,59.61,33.59,43.37
6.38,43.96,29.42,83.88
5.19,64.77,20.56,59.9
6.42,69.33,37.59,41.41
0.57,82.38,10.24,56.47
3.17,64.92,3.86,98.74
4.91,30.59,39.57,94.78
0.64,77.28,26.71,53.75
5.82,97.71,27.69,10.62
5.55,12.28,4.38,28.07
0.56,72.78,33.71,67.48
2.71,60.73,28.2,29.19
2.15,81.99,23.55,74.17
9.17,40.6,20.65,79.13
3.99,24.29,37.9,86.03
1.75,74.7,39.05,34.01
6.08,88.69,32.33,99.66
1.8,90.01,38.4,48.53
5.02,23.25,22.63,67.51
8.45,27.63,13.46,53.64
7.25,55.14,22.05,46.55
0.68,50.65,7.02,33.74
2.77,39.89,8.84,60.08
4.11,40.41,9.39,54.5
8.85,68.29,33.67,62.82
0.19,25.42,32.84,27.76
6.68,39.19,8.29,37.2
